station_id,station_name,lat,lng
214,Airport T Stop - Bremen St at Brooks St,42.37533522545788,-71.03131584841321
214,Airport T Stop - Bremen St at Brooks St,42.375339,-71.031304
214,Airport T Stop - Bremen St at Brooks St,42.37534192670574,-71.03128910064696
214,Airport T Stop - Bremen St at Brooks St,42.37535497133996,-71.03133335709572
214,Airport T Stop - Bremen St at Brooks St,42.37536686015489,-71.03135883808136
A32032,Airport T Stop - Bremen St at Brooks St,42.374103,-71.032764
A32032,Airport T Stop - Bremen St at Brooks St,42.375354,-71.031318
A32055,Airport T Stop - Bremen St at Brooks St,42.375354,-71.031318
385,Albany St at E. Brookline St,42.33664795427071,-71.0689445958451
C32061,Albany St at E. Brookline St,42.336647,-71.068944
C32061,Albany St at E. Brookline St,42.33664795427071,-71.0689445958451
C32061,Albany St at E. Brookline St,42.336648,-71.068945
183,Alewife MBTA at Steel Place,42.395588457167094,-71.14260613918304
M32046,Alewife MBTA at Steel Place,42.395588,-71.142606
M32046,Alewife MBTA at Steel Place,42.395588457167094,-71.14260613918304
142,Alewife Station at Russell Field,42.396105,-71.139459
M32033,Alewife Station at Russell Field,42.396105,-71.139459
66,Allston Green District - Commonwealth Ave & Griggs St,42.348607,-71.13401
66,Allston Green District - Griggs St at Commonwealth Ave,42.34852014581272,-71.13394662737846
66,Allston Green District - Griggs St at Commonwealth Ave,42.34922469338298,-71.13275302578586
66,Allston Green District - Griggs St at Commonwealth Ave TEMPORARY WINTER LOCATION,42.34922469338298,-71.13275302578586
422,American Legion Hwy at Canterbury St,42.278811581565975,-71.11687703062671
422,American Legion Hwy at Cummins Hwy,42.278811581565975,-71.11687703062671
C32079,American Legion Hwy at Cummins Hwy,42.278811,-71.116877
C32079,American Legion Hwy at Cummins Hwy,42.278811581565975,-71.11687703062671
C32079,American Legion Hwy at Cummins Hwy,42.278812,-71.116877
543,American Legion Hwy at Hyde Park Ave,42.27265394101898,-71.119903922081
C32101,American Legion Hwy at Hyde Park Ave,42.272653,-71.119903
C32101,American Legion Hwy at Hyde Park Ave,42.27265394101898,-71.119903922081
C32101,American Legion Hwy at Hyde Park Ave,42.272654,-71.119904
318,Ames St at Broadway,42.3636929,-71.0875672
M32059,Ames St at Broadway,42.363692,-71.087567
M32059,Ames St at Broadway,42.3636929,-71.0875672
M32059,Ames St at Broadway,42.363693,-71.087567
107,Ames St at Main St,42.3625,-71.08822
M32037,Ames St at Main St,42.3625,-71.08822
113,Andrew Station - Dorchester Ave at Humboldt Pl,42.330716,-71.057044
113,Andrew T Stop - Dorchester Ave at Dexter St,42.330473650415165,-71.05701684951782
113,Andrew T Stop - Dorchester Ave at Dexter St,42.33073332585453,-71.05699850837482
C32012,Andrew T Stop - Dorchester Ave at Dexter St,42.330733,-71.056999
C32012,Andrew T Stop - Dorchester Ave at Dexter St,42.330733,-71.056998
C32012,Andrew T Stop - Dorchester Ave at Dexter St,42.33073332585453,-71.05699850837482
20,Aquarium Station - 200 Atlantic Ave.,42.35977,-71.051601
20,Aquarium T Stop - 200 Atlantic Ave,42.35977,-71.051601
20,Aquarium T Stop - 200 Atlantic Ave,42.35991176110118,-71.0514298081398
B32004,Aquarium T Stop - 200 Atlantic Ave,42.359912,-71.05143
B32004,Aquarium T Stop - 200 Atlantic Ave,42.360441,-71.050439
B32004,Aquarium T Stop - 200 Atlantic Ave,42.360441356231235,-71.05043940246105
35,Arch St at Franklin St,42.35530156110769,-71.0582560300827
35,Arch St at Franklin St,42.355335019412564,-71.0582291708306
35,Arch St at Franklin St,42.35581929709065,-71.05887290099417
D32004,Arch St at Franklin St,42.355335,-71.058229
D32004,Arch St at Franklin St,42.355335019412564,-71.0582291708306
244,Archdale Rd at Washington St,42.292706,-71.121145
339,Archdale Rd at Washington St,42.29266592872725,-71.12119538714069
C32048,Archdale Rd at Washington St,42.292665,-71.121195
C32048,Archdale Rd at Washington St,42.29266592872725,-71.12119538714069
C32048,Archdale Rd at Washington St,42.292666,-71.121195
244,Archdale Rd at Washington St (former),42.292706,-71.121145
475,Arsenal Yards,42.36277388549605,-71.15764854490408
W32004,Arsenal Yards,42.362773,-71.157648
W32004,Arsenal Yards,42.36277388549605,-71.15764854490408
W32004,Arsenal Yards,42.362774,-71.157649
271,Ashmont T Stop,42.2856944,-71.0641389
C32062,Ashmont T Stop,42.285694,-71.064139
C32062,Ashmont T Stop,42.285694,-71.064138
C32062,Ashmont T Stop,42.2856944,-71.0641389
236,Assembly Square T,42.392232840046276,-71.07746601104736
S32018,Assembly Square T,42.392232,-71.077466
S32018,Assembly Square T,42.392232840046276,-71.07746601104736
S32018,Assembly Square T,42.392233,-71.077466
ZZ32996,Auburn St. at Mystic River,42.41759,-71.126081
ZZ32996,Auburn St. at Mystic River,42.41759089672136,-71.12608127863496
ZZ32996,Auburn St. at Mystic River,42.417591,-71.126081
535,Auburndale,42.34805541493346,-71.2477594614029
N32015,Auburndale,42.348055,-71.247759
N32015,Auburndale,42.34805541493346,-71.2477594614029
10,B.U. Central - 725 Comm. Ave.,42.350406,-71.108279
A32003,B.U. Central - 725 Comm. Ave.,42.350406,-71.108279
308,BCBS Hingham,42.16722555541654,-70.90555783370291
BCBS01,BCBS Hingham,42.16722555541654,-70.90555783370291
BCBS01,BCBS Hingham,42.167226,-70.905558
317,BCBS Quincy,42.27600498756665,-71.03924982267927
BCBS02,BCBS Quincy,42.276005,-71.03925
122,BIDMC - Brookline at Burlington St,42.345733,-71.100694
16,Back Bay / South End Station,42.34807412317439,-71.07657015323639
16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639
C32003,Back Bay T Stop - Dartmouth St at Stuart St,42.348074,-71.07657
C32003,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639
469,Bacon St at Washington St,42.35711920909866,-71.1860453666327
N32003,Bacon St at Washington St,42.357119,-71.186045
N32003,Bacon St at Washington St,42.35711920909866,-71.1860453666327
101,Ball Sq,42.397822126245096,-71.1060666978301
101,Ball Sq,42.39843120515256,-71.10781000366387
101,Ball Sq,42.39915588714573,-71.11102573591778
101,Ball Sq,42.39918259930251,-71.11104454854285
101,Ball Sq,42.39920335720869,-71.11102235516228
101,Ball Sq,42.39936816059618,-71.11111521723615
S32007,Ball Sq,42.399368,-71.111115
S32007,Ball Sq,42.39936816059618,-71.11111521723615
293,Bartlett St at John Elliot Sq,42.32946325922549,-71.09015820552486
360,Bartlett St at John Elliot Sq,42.3294633,-71.0901582
B32055,Bartlett St at John Elliot Sq,42.329463,-71.090158
B32055,Bartlett St at John Elliot Sq,42.3294633,-71.0901582
293,Bartlett St at John Elliot Sq (former),42.32946325922549,-71.09015820552486
C32108,Beach St at Freeport St,42.303674,-71.05426
C32108,Beach St at Freeport St,42.303674,-71.054259
C32108,Beach St at Freeport St,42.303674088927075,-71.05425953865051
53,Beacon St / Mass Ave,42.350851,-71.089886
58,Beacon St at Arlington St,42.355536284897084,-71.07286870479584
58,Beacon St at Arlington St,42.35554932336134,-71.07284188270569
58,Beacon St at Arlington St,42.355596,-71.07278
120,Beacon St at Charles St,42.356052,-71.069849
D32024,Beacon St at Charles St,42.356052,-71.069849
450,Beacon St at Englewood Ave,42.337369153709254,-71.14485977232107
453,Beacon St at Hawes St,42.34496783328529,-71.11040176903771
53,Beacon St at Massachusetts Ave,42.35082680669095,-71.0898108780384
B32016,Beacon St at Massachusetts Ave,42.350826,-71.08981
B32016,Beacon St at Massachusetts Ave,42.35082680669095,-71.0898108780384
B32016,Beacon St at Massachusetts Ave,42.350827,-71.089811
452,Beacon St at St. Paul St,42.34373094998716,-71.11614107161584
82,Beacon St at Tappan St,42.33826680058037,-71.13894682028331
K32002,Beacon St at Tappan St,42.338266,-71.138946
K32002,Beacon St at Tappan St,42.33826680058037,-71.13894682028331
K32002,Beacon St at Tappan St,42.338267,-71.138947
79,Beacon St at Washington / Kirkland,42.37842,-71.105668
79,Beacon St at Washington / Kirkland,42.37875351212593,-71.10707223415375
S32003,Beacon St at Washington / Kirkland,42.378753,-71.107072
S32003,Beacon St at Washington / Kirkland,42.37875351212593,-71.10707223415375
S32003,Beacon St at Washington / Kirkland,42.378754,-71.107072
526,Beacon at Walnut,42.330062324402995,-71.20668411254883
N32012,Beacon at Walnut,42.330062,-71.206684
N32012,Beacon at Walnut,42.330062324402995,-71.20668411254883
373,Belgrade Ave at Walworth St,42.28634589486312,-71.13672129828046
C32059,Belgrade Ave at Walworth St,42.286345,-71.136721
C32059,Belgrade Ave at Walworth St,42.28634589486312,-71.13672129828046
C32059,Belgrade Ave at Walworth St,42.286346,-71.136721
511,Bellevue T Stop,42.28611420958351,-71.14636927843094
C32095,Bellevue T Stop,42.286114,-71.146369
C32095,Bellevue T Stop,42.28611420958351,-71.14636927843094
504,Bellingham Square,42.39301409032274,-71.0339249682147
504,Bellingham Square,42.3931961102951,-71.03344559669495
H32002,Bellingham Square,42.393196,-71.033446
H32002,Bellingham Square,42.393196,-71.033445
H32002,Bellingham Square,42.3931961102951,-71.03344559669495
210,Bennington St at Byron St,42.38337841883669,-71.01612031481636
210,Bennington St at Byron St,42.383532520117896,-71.01619094610214
A32028,Bennington St at Byron St,42.383532,-71.01619
A32028,Bennington St at Byron St,42.383532520117896,-71.01619094610214
A32028,Bennington St at Byron St,42.383533,-71.016191
274,Bennington St at Constitution Beach,42.385249,-71.010601
355,Bennington St at Constitution Beach,42.385223935870535,-71.01063068965232
A32039,Bennington St at Constitution Beach,42.385223,-71.01063
A32039,Bennington St at Constitution Beach,42.385223935870535,-71.01063068965232
A32039,Bennington St at Constitution Beach,42.385224,-71.010631
274,Bennington St at Constitution Beach (former),42.385249,-71.010601
437,Berkshire Street at Cambridge Street,42.37207657915397,-71.08995433905875
M32067,Berkshire Street at Cambridge Street,42.372076,-71.089954
M32067,Berkshire Street at Cambridge Street,42.37207657915397,-71.08995433905875
M32067,Berkshire Street at Cambridge Street,42.372077,-71.089954
400,Big Papi Station,42.34734473177431,-71.1001680795016
117,Binney St / Sixth St,42.36608797388682,-71.08633603909765
117,Binney St / Sixth St,42.366095,-71.086388
117,Binney St / Sixth St,42.36616223459919,-71.08688293667001
M32027,Binney St / Sixth St,42.366087,-71.086336
M32027,Binney St / Sixth St,42.36608797388682,-71.08633603909765
M32027,Binney St / Sixth St,42.366088,-71.086336
416,Blossom St at Charles St,42.36435589027983,-71.0695936904267
D32050,Blossom St at Charles St,42.36435589027983,-71.0695936904267
D32050,Blossom St at Charles St,42.364356,-71.069594
245,Blue Hill Ave at Almont St,42.27454525528758,-71.09372016051566
340,Blue Hill Ave at Almont St,42.274620671812244,-71.09372552493369
C32044,Blue Hill Ave at Almont St,42.27462,-71.093725
C32044,Blue Hill Ave at Almont St,42.274620671812244,-71.09372552493369
C32044,Blue Hill Ave at Almont St,42.274621,-71.093726
245,Blue Hill Ave at Almont St (former),42.27454525528758,-71.09372016051566
490,Blue Hill Ave at Havelock St,42.286012,-71.090986
C32092,Blue Hill Ave at Havelock St,42.286012,-71.090986
306,Blue Hill Ave at Southwood St,42.31784,-71.07796
368,Blue Hill Ave at Southwood St,42.317860205899876,-71.07798628527235
B32057,Blue Hill Ave at Southwood St,42.31786,-71.077986
B32057,Blue Hill Ave at Southwood St,42.317860205899876,-71.07798628527235
306,Blue Hill Ave at Southwood St (former),42.31784,-71.07796
23,Boston City Hall - 28 State St,42.35892,-71.057629
B32008,Boston City Hall - 28 State St,42.35892,-71.057629
523,Boston College T,42.33987891612856,-71.16708934307098
N32009,Boston College T,42.339878,-71.167089
N32009,Boston College T,42.33987891612856,-71.16708934307098
N32009,Boston College T,42.339879,-71.167089
65,Boston Convention & Exhibition Center,42.3475,-71.0441
65,Boston Convention and Exhibition Center - Summer St at West Side Dr,42.3475,-71.0441
65,Boston Convention and Exhibition Center - Summer St at West Side Dr,42.347763454147454,-71.0453599691391
D32018,Boston Convention and Exhibition Center - Summer St at West Side Dr,42.347763,-71.04536
D32018,Boston Convention and Exhibition Center - Summer St at West Side Dr,42.347763,-71.045359
D32018,Boston Convention and Exhibition Center - Summer St at West Side Dr,42.347763454147454,-71.0453599691391
219,Boston East - 126 Border St,42.373312125824704,-71.0410200806291
A32036,Boston East - 126 Border St,42.373312,-71.04102
A32036,Boston East - 126 Border St,42.373312125824704,-71.0410200806291
440,Boston Landing,42.356560923089404,-71.14167537549292
A32045,Boston Landing,42.35656,-71.141675
A32045,Boston Landing,42.356560923089404,-71.14167537549292
A32045,Boston Landing,42.356561,-71.141675
13,Boston Medical Center -  East Concord at Harrison Ave,42.336437,-71.073089
13,Boston Medical Center - E Concord St at Harrison Ave,42.33639915372498,-71.07306711393903
13,Boston Medical Center - E Concord St at Harrison Ave,42.336437,-71.073089
13,Boston Medical Center - E Concord St at Harrison Ave,42.33671641210506,-71.06880776602338
C32002,Boston Medical Center - E Concord St at Harrison Ave,42.336399,-71.073067
C32002,Boston Medical Center - E Concord St at Harrison Ave,42.33639915372498,-71.07306711393903
36,Boston Public Library - 700 Boylston St.,42.349673,-71.077303
